Name,ID,Timeslot
ARRG 2,31418,2
Audio Test 2,9999,2
Baynet 2,31075,2
BC 1,3027,1
BC 2,103027,2
Bridge 2,3100,2
Cactus 2,3185,2
California 1,3106,1
Canada 2,302,2
Cascades 1,3191,1
Hawaii 1-2,3115,
I-5 1,3168,1
I-84 2,31419,2
Idaho 1,3116,1
Idaho ARES 2,31160,2
Inland 2,465263,2
Local 1,3181,1
Metro 2,3166,2
Michigan 1,3126,1
Montana 2,3130,2
Mountain 2,3177,2
MPRG,31301,
N America 2,3163,2
Net 1,31001,1
Net 2,31002,2
Ontario 2,3023,2
OR Central 2,31411,2
OR Med 2,32912,2
Oregon 1,3141,1
Parrot 1,9998,1
PNW 1,3187,1
PNW 2,103187,2
PNW Rgnl 2,31771,2
RACOM ARC 2,315310,2
SAR-WV 2,314122,2
SNARS 1-2,31328,1
SoCal 2,31066,2
TAC 1 2,8951,2
TAC 2 2,8952,2
TAC 3 2,8953,2
TAC 310 2,310,2
TAC 311 2,311,2
TAC 312 2,312,2
USA 2,1776,2
Utah 2,3149,2
Washington 1,3153,1
Washington 2,103153,2
Worldwide 2,3161,2
WVisayas,5156,
WW Eng 113 2,113,2
WW English 2,13,2
Simplex,99,
